X;Y;Kategorie
rot;grün
Trainingsdaten
2.816166438108387;1.5259493214245088;rot
3.916258121607742;1.1874595726554773;rot
3.662390810030968;2.541418567731603;rot
2.3507430335509674;2.477951739837409;rot
1.652607926714838;3.5568878140386966;rot
2.752699610214193;4.212711702278694;rot
1.652607926714838;5.270492167181918;rot
2.837322047406451;6.666762380854172;rot
1.5891410988206442;7.026407738921268;rot
3.1335005775793547;7.8726321108438455;rot
5.12212785159742;4.4454234045574035;rot
7.237688781403873;4.4454234045574035;rot
5.397150772472259;2.287551256154829;rot
6.645331721058066;1.2509264005496707;rot
6.581864893163872;2.541418567731603;rot
7.808890232451615;2.541418567731603;rot
8.803203869460647;2.8587527072025694;rot
4.741326884232259;3.5991990326348255;grün
6.201063925798711;3.5568878140386966;grün
7.195377562807744;3.4934209861445034;grün
8.168535590518712;4.6781351068361126;grün
7.195377562807744;5.630137525249014;grün
7.808890232451615;6.899474083132881;grün
6.433775628077421;7.639920408565137;grün
6.454931237375486;6.455206287873527;grün
5.566395646856775;6.857162864536752;grün
4.656704447040001;7.576453580670943;grün
4.360525916867097;6.455206287873527;grün
5.249061507385807;5.693604353143207;grün
6.349153190885163;5.460892650864498;grün
4.043191777396129;4.466579013855468;grün
3.3662122798580647;5.693604353143207;grün
Testdaten
5.25;1.31;rot
8.42;6.02;grün
5.7;4.7;grün
6.5;4.3;grün
2.1;8;rot
8.7;2;rot
