X;Y;Kategorie
1;2
363;0.301;1
72;0.264;1
150;0.242;1
157;0.312;1
58;0.325;1
326;0.195;1
388;0.077;1
91;0.022;1
20;0.121;1
38;0.045;1
332;0.080;1
352;0.382;1
478;0.058;1
575;0.040;1
557;0.112;1
475;0.322;1
435;0.370;1
35;1.042;2
87;1.198;2
245;1.202;2
300;1.069;2
345;1.164;2
440;1.071;2
543;0.997;2
636;0.953;2
1090;0.862;2
901;0.922;2
1004;0.737;2
926;0.846;2
679;0.980;2
768;0.944;2
834;0.853;2
1075;0.764;2
1262;0.201;2
1200;0.4;2
1286;0.579;2
1191;0.641;2
1128;0.710;2
1026;0.957;2
915;0.995;2
957;0.786;2
485;1.015;2
Testdaten
258;0.341;1
100;0.372;1
158;0.120;1
425;0.125;1
416;0.045;1
614;0.136;1
131;0.577;1
113;1.084;2
737;0.866;2
1168;0.423;2
1304;0.169;2
1153;0.730;2
487;1.109;2
952;0.561;2
